Genes,rho_SkM,rho_AT
C2,0.0290598290598291,-0.028695652173913
S100A9,0.203478260869565,0.0728402032749859
APOA4,-0.0739600261633639,0.25021729686849
EIF4E,0.05,-0.432142857142857
ENO1,-0.21982905982906,-0.27304347826087
PYGL,-0.403726708074534,-0.251948051948052
TPM3,-0.452307692307692,0.0443478260869565
ITGAV,0.311538461538462,-0.108695652173913
LPL,-0.166086956521739,-0.0175042348955392
SERPINE2,-0.24025974025974,0.459649122807018
LDHB,0.00538461538461539,0.0405138339920949
GPX1,0.0536752136752137,0.148695652173913
PROS1,-0.171965811965812,-0.051304347826087
P4HB,-0.188376068376068,0.25304347826087
CSF1R,0.0423076923076923,0.151185770750988
CTSD,-0.00515995872033024,-0.166666666666667
C8A,-0.146666666666667,0.0544580118734447
GP1BA,-0.169230769230769,-0.0982608695652174
C8G,-0.0160683760683761,0.0130434782608696
CAPN1,0.0591452991452991,0.184347826086956
TUBB,-0.0933333333333333,0.170434782608696
IVL,0.173333333333333,-0.346410161513776
DCN,-0.164935064935065,-0.0508771929824562
PSAP,0.124615384615385,0.024703557312253
PFN1,0.0230769230769231,0.0721343873517787
HSP90AA1,-0.00376068376068376,-0.253913043478261
LAMB1,-0.238461538461538,-0.173913043478261
LYN,0.315555555555556,0.157391304347826
TPM2,0.103846153846154,-0.016798418972332
FH,-0.00608695652173913,-0.42970073404856
THBS1,0.200683760683761,0.193913043478261
SLC3A2,-0.244615384615385,-0.0474308300395257
HSP90AB1,0.111111111111111,0.0530434782608696
SOD3,-0.220869565217391,0.271597967250141
CTSG,-0.185217391304348,-0.0141163184641446
MGP,0.0141163184641446,0.0415584415584416
ITGA2B,0.55965811965812,0.0904347826086956
LPA,-0.137024600187806,0.0135819983274922
PLEK,0.206153846153846,0.0956521739130435
CD14,-0.148717948717949,-0.144347826086957
PTPRC,0.15,-0.190711462450593
CFH,-0.00444444444444444,0.248695652173913
VIM,0.108695652173913,0.0502540937323546
SERPINF2,0.119316239316239,-0.131304347826087
F7,-0.222944096265739,0.115652173913043
RPSA,-0.147058823529412,0.459340659340659
CD63,-0.118181818181818,-0.269172932330827
ENO2,0.311278195488722,0.0894736842105263
DBH,-0.0920383963862225,-0.0818181818181818
GSTP1,-0.114551083591331,-0.294117647058824
SPARC,0.204786324786325,-0.0660869565217391
TPM1,0.031055900621118,0.107792207792208
CNP,-0.0113519091847265,0.524509803921569
CSF1,0.0912820512820513,-0.211304347826087
PDGFRB,0.052991452991453,-0.0878260869565217
DLD,0.0878632478632479,-0.0634782608695652
CTSH,-0.0906862745098039,-0.025
COX6C,0.0135338345864662,-0.266666666666667
C1S,-0.221880341880342,-0.274782608695652
SLFN14,0.0836826348564842,0.250141163184642
SAA2,0.161025641025641,-0.474782608695652
SRGN,-0.215042735042735,-0.00695652173913043
RRAS,-0.0526315789473684,0.0269607843137255
SPP1,-0.262085572828218,-0.103478260869565
DLAT,0.213622291021672,0.388235294117647
TXN,0.2218782249742,-0.087719298245614
COX5B,-0.115753811405985,-0.250649350649351
C7,0.465982905982906,-0.160869565217391
PRKAR1A,0.00239316239316239,0.182608695652174
CHGA,-0.267700021625464,0.146303391191891
TFPI,0.0912280701754386,0.0637254901960784
KIT,-0.233846153846154,-0.132173913043478
HSPD1,0.22051282051282,0.341739130434783
CLU,-0.0208547008547009,0.00869565217391304
HSPA5,-0.109059829059829,-0.21304347826087
LAMC1,0.0276923076923077,-0.264822134387352
HSPA8,0.544615384615385,0.411304347826087
SLC2A1,0.300769230769231,-0.289525691699605
SLC2A3,0.144615384615385,-0.0617391304347826
EPB41,-0.09,-0.16699604743083
PDHB,-0.240118577075099,-0.262337662337662
DBT,0.431578947368421,0.296491228070175
PYGB,-0.0153846153846154,0.199130434782609
BCR,-0.294736842105263,0.0556390977443609
SPTB,-0.11042735042735,-0.191304347826087
LAMP1,0.205194805194805,0.152631578947368
ACADM,0.0346153846153846,-0.151185770750988
FGFR1,-0.0311111111111111,-0.0808695652173913
G6PD,0.22051282051282,0.344347826086957
MTHFD1,-0.314782608695652,0.426312817617166
CETP,-0.120683760683761,-0.0347826086956522
IGF2R,0.16,-0.209486166007905
PRPS2,-0.0286561264822134,-0.0701298701298701
COX6A1,-0.0165413533834586,-0.254385964912281
COL6A1,-0.0297435897435897,-0.0278260869565217
COL6A3,0.0598290598290598,-0.313913043478261
F5,-0.0782905982905983,-0.0304347826086957
ACTN1,0.178803418803419,-0.0382608695652174
CDH1,0.104273504273504,-0.296521739130435
SRC,-0.165128205128205,0.244347826086957
PEPD,-0.185770750988142,0.144155844155844
COX4I1,0.108977978543196,0.493506493506494
RNH1,-0.221908526256352,0.141353383458647
BMP1,0.287826086956522,-0.0553359683794466
NCAM1,-0.207521367521368,0.000869565217391304
ICAM2,-0.264347826086957,0.139469226425748
VCAN,-0.297744360902256,-0.289989680082559
EEF2,0.219130434782609,-0.08300395256917
KRT10,0.219548872180451,-0.135190918472652
PDIA4,-0.163076923076923,-0.338260869565217
C6,0.0899145299145299,0.350434782608696
ALAD,-0.307017543859649,0.141382868937048
PRG2,-0.0796581196581197,-0.0104347826086957
LCP1,0.10017094017094,0.399130434782609
APEH,-0.0284615384615385,0.00197628458498024
ETFA,0.09,-0.254940711462451
GYS1,0.368421052631579,-0.159313725490196
PRKAR2A,0.277391304347826,0.0762281197063806
SELL,0.0700854700854701,-0.00869565217391304
PRKCSH,-0.192478632478632,-0.0634782608695652
HCLS1,-0.068034188034188,-0.0391304347826087
COX7A2,-0.0217391304347826,0.189158667419537
NID1,-0.372991452991453,-0.465217391304348
PKM,0.533675213675214,0.113913043478261
HSP90B1,0.0324786324786325,0.0817391304347826
GP9,0.109141974288204,-0.156990653852558
MMP9,0.172699438662252,0.0176470588235294
ANPEP,-0.108823529411765,-0.0735294117647059
RAC2,-0.137391304347826,-0.268210050818747
GSPT1,0.0324786324786325,-0.146086956521739
VAV1,0.120300751879699,0.012280701754386
NME1,-0.161709401709402,0.163478260869565
IGLL1,0.142788732997303,-0.130132245121808
CD44,-0.0181196581196581,-0.230434782608696
SELP,0.17,-0.259881422924901
ACAN,-0.0446153846153846,-0.235177865612648
SPN,0.17719298245614,0.116615067079463
ANK1,-0.188376068376068,0.00434782608695652
PECAM1,0.0796581196581197,0.00782608695652174
EPB42,0.299891167503275,0.146245059288538
ATP2A2,-0.23008547008547,0.217391304347826
CD36,0.152307692307692,0.0800395256916996
PLCG2,0.261654135338346,-0.213622291021672
FAH,0.099802371541502,-0.225296442687747
PRKCA,-0.119316239316239,-0.02
ITGA2,0.135726495726496,0.088695652173913
CAPN2,-0.291538461538462,-0.263833992094862
CTPS1,-0.463736263736264,0.0989010989010989
PFKL,-0.0361538461538462,-0.139328063241107
IGFBP3,0.252631578947368,0.159958720330237
PSMC3,0.0576923076923077,-0.146245059288538
TCP1,0.169230769230769,-0.0808695652173913
ALOX12,-0.0817094017094017,-0.42
ITGB5,0.0163749294184077,0.0496240601503759
ARF4,0.0892307692307692,-0.436758893280632
VCL,0.191111111111111,0.131304347826087
LBP,0.0235897435897436,-0.381739130434783
PTPRA,0.182806324110672,-0.52987012987013
PAM,0.244444444444444,-0.129565217391304
GNAZ,-0.0453846153846154,0.0345849802371542
VCAM1,-0.139145299145299,0.350434782608696
HK1,0.583076923076923,-0.136363636363636
NDUFV2,-0.338235294117647,0.235714285714286
SLC9A1,-0.0513833992094862,0.284415584415584
ORM2,0.082188510095347,0.0860869565217391
CSNK2A2,0.0360902255639098,-0.131062951496388
ITIH2,-0.00239316239316239,-0.191304347826087
ITIH1,-0.126370048276736,0.00782608695652174
TYMP,-0.197110423116615,-0.117647058823529
RAB6A,-0.0736842105263158,0.170278637770898
PSMB1,-0.0792307692307692,0.315217391304348
M6PR,-0.265221878224974,-0.0490196078431373
COX5A,0.0618803418803419,-0.0730434782608696
OGN,0.110434782608696,0.0491247882552231
CAST,0.166666666666667,-0.139705882352941
C4BPB,0.162420929027954,0.00695652173913043
RASA1,0.0446153846153846,0.105731225296443
CSRP1,-0.0930769230769231,-0.150197628458498
FLNA,0.132991452991453,0.606086956521739
VDAC1,0.293076923076923,0.357707509881423
BGN,0.220869565217391,0.110107284020328
SDHB,0.24604743083004,-0.241558441558442
CD9,-0.199130434782609,-0.107848673066064
COMT,0.269762845849802,0.0818746470920384
PCMT1,-0.286837606837607,0.179130434782609
TNXB,-0.0796581196581197,-0.326086956521739
PAICS,-0.123478260869565,0.525691699604743
UBA1,0.0107284020327499,0.0661654135338346
GPX3,0.215726495726496,-0.0121739130434783
NME2,-0.347368421052632,-0.135087719298246
PRKACB,-0.0234782608695652,0.466967814793902
UQCRC2,0.081025641025641,-0.229565217391304
CPN2,0.343474793745748,-0.236521739130435
PROZ,0.0516239316239316,-0.150327154150902
FBLN1,-0.0947008547008547,-0.284347826086957
PTGS1,0.202307692307692,0.0237154150197628
ITGA6,0.091965811965812,0.359130434782609
PPIB,0.261038961038961,-0.0857142857142857
ME2,-0.206923076923077,0.176877470355731
PTPRG,0.0605128205128205,0.0330434782608696
PTPRZ1,0.0731225296442688,-0.648051948051948
AHCY,-0.0311688311688312,0.407518796992481
CFL1,-0.011965811965812,-0.190434782608696
EIF4B,-0.0931372549019608,0.0147058823529412
LAMA2,0.0194871794871795,-0.40695652173913
EEF1B2,-0.0748717948717949,-0.191304347826087
TBXAS1,0.446837606837607,0.0391304347826087
IGFBP5,0.211688311688312,0.363157894736842
TNC,-0.367521367521368,-0.156521739130435
MYL9,0.04,0.00395256916996047
AZGP1,0.49122073517608,-0.0356521739130435
RPS12,-0.243956043956044,-0.043956043956044
CTSS,-0.175652173913043,-0.0502540937323546
PSMA1,-0.0447863247863248,0.132173913043478
PSMA2,0.180854700854701,0.263478260869565
PSMA3,-0.113495200451722,0.568421052631579
PSMA4,-0.00461538461538462,-0.148221343873518
PTX3,0.305384615384615,0.273715415019763
MSN,-0.139145299145299,-0.285217391304348
EEF1G,-0.10017094017094,0.0156521739130435
MST1,0.143859649122807,-0.00722394220846233
STOM,-0.148034188034188,-0.24
PON1,0.0820653115088611,0.297890852878122
MAOB,-0.113076923076923,0.188735177865613
YWHAQ,0.193846153846154,0.0660869565217391
DPP4,-0.223247863247863,-0.204347826086957
CAD,-0.101538461538462,0.503952569169961
CALR,-0.154871794871795,0.140869565217391
MAP4,0.223320158102767,-0.148503670242801
CANX,0.161709401709402,0.491304347826087
ITPKB,0.202597402597403,0.0491228070175439
PSMB8,-0.178119658119658,-0.0373913043478261
PSMB9,0.0186335403726708,0.0451127819548872
PSMA5,-0.0557264957264957,0.143478260869565
PSMB4,0.201367521367521,0.46
PSMB5,-0.112478632478632,0.0765217391304348
ABCD3,0.174019607843137,0.271428571428571
NDUFS1,0.0434782608695652,-0.101298701298701
PCSK6,-0.0355731225296443,0.290909090909091
TPP2,-0.211538461538462,-0.0899209486166008
PTPN6,-0.0412196499153021,0.0493506493506493
EEF1D,0.301880341880342,0.16695652173913
PRDX6,-0.135042735042735,-0.0373913043478261
PRDX5,-0.0161538461538462,-0.190711462450593
PRDX3,0.0553846153846154,-0.125494071146245
CMPK1,0.0931677018633541,0.0363636363636364
PDIA3,0.121367521367521,-0.109565217391304
PPP2R1A,-0.263589743589744,0.0173913043478261
