Genes,est_ep,q_ep,est_se,q_se
HSP90B1,0.102957987659957,0.181302406376043,0.0438076923076924,0.933445205148363
HSPB1,-0.0456884571288075,0.76687250699292,-0.197246153846154,0.242466938071184
HSPG2,0.280658193605543,0.0291387055134898,0.114284615384615,0.022235434840072
HYOU1,0.142231650620992,0.184625285158404,0.00773461538461536,0.923779226307047
ICAM2,0.180331856150104,0.53206226016848,-0.0312192307692308,0.666092740280181
IGF2R,0.464720917003399,0.0055883506230472,0.0577500000000001,0.478032573846729
IGFBP3,0.440237927147282,0.189451950024051,-0.0287230769230769,0.576282965250022
IKBKG,-0.12386959947406,0.324515200959946,0.212276923076924,0.0478504109057893
IMMT,-0.120375335457465,0.39608240424463,0.0256807692307692,0.942546754836529
INHBC,0.346774529885726,0.233993486901596,-0.0558230769230769,0.671092325801322
INPP5D,-0.0175531249528283,0.943074669314514,0.15605,0.455088005574403
INPPL1,-0.0771826085760318,0.502331864458969,-0.0512230769230767,0.83833312795739
IQGAP2,-0.192453329734294,0.0746052792400597,0.0635192307692308,0.850046224934601
IRAG2,0.0568988021494733,0.812585628966755,-0.00375384615384629,0.990077857925503
ITGA2,-0.137267944912418,0.259207135740779,-0.0622153846153844,0.424912138664207
ITGA6,-0.222934103326168,0.260733758602153,-0.0648769230769232,0.528116536145871
ITGAV,0.182894931232255,0.196846421589081,-0.0242884615384615,0.811783739096484
ITGB1,-0.0597619128612673,0.738741712040037,-0.00431923076923076,0.966906934704828
ITGB5,-0.163284752781527,0.189227913134116,-0.0933192307692311,0.340785915209955
ITIH1,0.13277555778573,0.184777733672076,-0.0146461538461539,0.892811215031087
ITIH3,0.145402203469483,0.331684004161402,0.109676923076923,0.494970906568762
ITIH4,0.247753729192177,0.430976926346809,-0.0447538461538461,0.722648599936434
ITPR1,-0.130700789690811,0.386900253736676,0.0841730769230749,0.0788631958221144
JAM3,-0.240628665001075,0.060275039100655,0.0152961538461537,0.928486658601211
