Genes,p_VO2_marg,p_M_marg,p_VO2_adj,p_M_adj
CTSC,0.238022291232311,0.600816567634792,0.237388860751675,0.562026398131577
LY6G6F,0.549953376769912,0.646670296044988,0.238988976039349,0.264674136587838
RPIA,0.534576039061026,0.71261801474788,0.239723858480258,0.284856392492362
EML3,0.614836265126154,0.686711997331862,0.24057575022837,0.255944264662718
TC2N,0.849943483054771,0.106914266697354,0.246336510815917,0.0511668156970374
PSMB5,0.162875381954392,0.444228210823164,0.246773456684438,0.855206795974015
PTX3,0.131647184237691,0.347665186243835,0.247954709532024,0.99193457065142
CD109,0.584010478910111,0.613270016972004,0.249227590145115,0.257269799952531
IVL,0.564598588746898,0.646670296044988,0.250875153075256,0.273215473176706
APMAP,0.271035724969525,0.740650224396408,0.252240893049961,0.613393070817365
GYS1,0.155768110126037,0.426557175191658,0.254469981129504,0.972104231653864
DPYSL2,0.0694440127248471,0.148103056930607,0.255332366752783,0.709367987663353
APOA4,0.0932928697525118,0.213472168699896,0.260343780795792,0.828857856000307
VPS13A,0.576155507754533,0.709508753221184,0.26073766723398,0.294595180041646
UBASH3A,0.103877869246675,0.198090997164871,0.260913842262183,0.568649022950071
CNPY2,0.641983308670595,0.633188717150989,0.262413323357935,0.260599147186064
PSMA4,0.95339324822314,0.151485086538516,0.263061747523249,0.0730340265740813
CSPG4,0.510337919896727,0.763522504992237,0.2637543030125,0.337396034850196
PRKCA,0.103233921167755,0.238642685337137,0.264168515113972,0.865601307395278
B3GNT2,0.302943081906613,0.796906099424203,0.264283778320286,0.588070539247706
ACADVL,0.329781703001115,0.875740866239221,0.266491273504077,0.553750562644909
CHGB,0.282362913992899,0.84620166691027,0.266598116593985,0.671094639971848
PCDH1,0.873716777899594,0.294457183444349,0.26766382972338,0.133704324797751
ECPAS,0.110709348914855,0.262201261553907,0.267753153911698,0.904777360453474
HMGCL,0.283733858720034,0.702509719734306,0.269520536693455,0.607278916852503
IGHV3-74,0.252615401468574,0.675800939176157,0.270274033526427,0.712479244065048
IGKV1-5,0.595563221968745,0.63705411076692,0.271506869906727,0.283335244167009
APOA1,0.205682908760077,0.522138991762803,0.273160774314135,0.811875139664022
APOE,0.104385291693192,0.230487900727311,0.274455664133784,0.840814587610756
DNM1L,0.116429016368133,0.259870048021795,0.278848401137457,0.881135668224135
MADCAM1,0.349258595122668,0.875216614079564,0.280169935495189,0.553497568326897
CLEC11A,0.957758622592157,0.224217919767785,0.281940438759163,0.10951810334545
ADAMTS13,0.395751760342392,0.973350931712832,0.283111816074558,0.496375986448077
CRTAC1,0.325178850424168,0.812438240184526,0.283156749447486,0.597445049624277
COLEC10,0.078656465760924,0.150080576267798,0.284289381224843,0.682912845654898
PON3,0.067760964121705,0.12152177533378,0.284465016999431,0.61836091375942
PLXDC1,0.59788542059574,0.658769992962449,0.285448079660232,0.303196324185563
PACS1,0.0647570947054651,0.113233791092048,0.28545450153678,0.596990550709986
RAN,0.099864924624509,0.187922533347963,0.288163352673117,0.64887689505695
LDLR,0.80795301168313,0.365289470126583,0.289320126495191,0.174453562755758
