Protein.Group,Genes,n_obs,n_ID,est_ri,se_ri,p_ri,q_ri,shapiro_p,shapiro_p_marginal,shapiro_p_ranef,bp_stat,bp_p,bp_p_marginal,spearman_rho_absres_fitted,spearman_p,levene_p
Q06033,ITIH3,52,26,0.145402203469483,0.10168921318242,0.152754762201305,0.331684004161402,0.00110630375181565,0.0315626319301095,0.889655810777686,4.34736654990653,0.0370662194264245,0.187214636601615,0.0236489370784598,0.867596949197765,0.24535212755647
O15327,INPP4B,51,26,-0.200439696469557,0.0903543399871479,0.0265293590769461,0.129724393079066,0.00123741337574175,0.00157574369907086,0.132483822555383,2.62134156616607,0.105435265507748,0.270058427349449,-0.141809954751131,0.31986697652083,0.567294943670205
P26038,MSN,52,26,0.120525617554407,0.130192252690649,0.354575359464523,0.541148534780859,0.00132031643840556,0.00207489788919512,0.0599557724064365,2.17997265116088,0.139816946332104,0.0732607969408517,0.00469563732604798,0.973788864226274,0.334331979622494
Q969X1,TMBIM1,50,26,-0.134692759565851,0.123281588439544,0.27458622334223,0.467445453271144,0.00139047326715993,0.0200174607453796,0.597895358335101,0.665250870976115,0.414712285944503,0.678115315087598,0.00744297719087635,0.9591966037095,0.525039523685186
Q92598,HSPH1,51,26,-0.0242807757778211,0.0921343133938335,0.792136916450086,0.876684481314744,0.00145235293108074,0.00311243887136996,0.0967962158020227,4.77042696545021,0.0289526445235877,0.527995640522504,-0.0286877828054299,0.841284899167307,0.685257834301661
P35443,THBS4,52,26,0.165945929884844,0.101754076495027,0.102921363889877,0.268972230766459,0.00147169402343725,0.0476088168636649,0.588833343188038,5.05057410406944,0.0246177802734347,0.197365536765762,0.0600187825493042,0.671709739621521,0.0832200628963085
P49747,COMP,52,26,0.255375155483966,0.145272791145916,0.0787643900369334,0.234021120398196,0.0015374232098993,0.00776779976452612,0.806999306287374,7.6918609206847,0.00554704027796628,0.0426750412733733,-0.105523776999915,0.45542333911866,0.39472531394802
P01871,IGHM,52,26,0.171871448624806,0.0708761591241781,0.015310312854884,0.0950203568378225,0.00154685825344554,0.00503951112815322,0.187544302382178,16.7943968821408,4.16561192376997e-05,0.929087442634697,-0.380773499530436,0.00563862978009784,0.492653432509339
Q15582,TGFBI,52,26,0.265972126653821,0.122627183906349,0.0300865444460389,0.140434172716405,0.00158623175813811,0.00158623175813811,,2.92419188277509,0.0872609051300036,0.0872609051300036,0.231838398495674,0.0981705157305147,0.0756527168620281
Q9H6Q3,SLA2,48,26,-0.0129698814329057,0.138161380412488,0.925208557605603,0.952964814333771,0.00172561649950884,0.00172561649950884,,1.1796773206488,0.277421696440544,0.277421696440544,0.128379896156615,0.384517445395655,0.215743374886547
P02763,ORM1,52,26,0.14904663388411,0.234792860689974,0.525558513486211,0.686961001130454,0.00177333398528417,0.00177333398528417,,1.20998162072954,0.27133576189066,0.27133576189066,0.140008826328736,0.322192598669311,0.984108657225373
P05106,ITGB3,52,26,-0.328962690338359,0.171103781628426,0.054531361933875,0.185320413862917,0.00179604757532163,0.00179604757532163,,0.0413519342668951,0.838860109670048,0.838860109670048,-0.0872575032849763,0.538487347777189,0.608586293571724
A0A0C4DH34,IGHV4-28,50,26,0.601511963524748,0.390113879563718,0.123100778865092,0.295250661341945,0.00200439331783761,0.00200439331783761,,2.85616052527031,0.0910245288826455,0.0910245288826455,0.243307575772254,0.0886390805769473,0.999189885408172
P61978,HNRNPK,51,26,0.033801614808138,0.0687652899144492,0.623037121500067,0.76225981992015,0.00201744027181332,0.000479905776084108,0.0359536899636638,2.40990523526859,0.120569664651812,0.0309596805999644,-0.141447963800905,0.321113658354125,0.987804696238836
Q9BS26,ERP44,52,26,0.058109481415209,0.120704316876924,0.630217970954856,0.766682492224608,0.00217355935413037,0.0166891971620153,0.326031602680267,2.2332519400288,0.135069302935168,0.802798556435923,-0.215999316998207,0.123902439466441,0.938311695821984
P00742,F10,52,26,0.279721081508719,0.133897312044013,0.0367012719497824,0.157228748003735,0.00219698924984879,0.00119707148752508,0.0756842018972017,5.77580657233392,0.0162482616852905,0.478509807522165,-0.189789123196448,0.177314055013565,0.873367571122246
P01031,C5,52,26,0.208878802442608,0.183630554652142,0.255331493980268,0.447571872616141,0.00228849304634639,0.00228849304634639,,8.89413319659677,0.00286088385935028,0.00286088385935028,0.435424861918851,0.00125449750045605,0.270304375912241
Q14126,DSG2,52,26,0.120523165616003,0.135142104385642,0.372486507954766,0.556109194095639,0.00237531978733788,0.0539364497131755,0.683884103100431,4.26107769660198,0.0389951751400301,0.0275969743824818,0.0219414325962606,0.877096707676244,0.946210352717058
P05156,CFI,52,26,0.328443017021281,0.273397141128412,0.229619204723106,0.423849069650178,0.00240114568633495,0.00240114568633495,,6.19446303967589,0.01281505994614,0.01281505994614,0.217388935519664,0.121601733576838,0.564414159307213
P35232,PHB1,51,26,-0.151289186196449,0.122868742698558,0.218207933262546,0.41315105011107,0.00247621739271612,0.00247621739271612,,0.734800924307371,0.391331434567095,0.391331434567095,-0.0567162264706353,0.692612605678621,0.947434390498617
