Genes,est_B2,est_B3,p_time,n_ID,q_time
NCKAP1,0.00426538309695834,-0.202611388548721,0.170872651997836,26,0.457535534431095
DNM2,0.00648426791667846,-0.147743834384866,0.171096545138531,25,0.457535534431095
LSS,0.193864323985849,0.104020990408435,0.171478400151818,25,0.457535534431095
C9,0.0602821704590587,0.108502358654146,0.171498851061992,26,0.457535534431095
ACTA1,0.230466189952208,-0.0160304095384072,0.172965475146795,26,0.460621319118527
RNASE4,-0.219958441032907,0.00589727887108276,0.17350646438716,26,0.461235431268909
UBA5,0.163899864683555,0.263042263500284,0.174241454789757,26,0.46236214610282
ARPC2,-0.0133590081814479,-0.0851544877669528,0.175025607026585,26,0.46361506602764
CLIP1,0.0881671004502286,-0.045255469570615,0.175547035394113,26,0.464168851593685
PSMA7,0.0895885787032282,0.18862154514614,0.176025948927964,26,0.464608454896898
PTGS1,0.124447899168394,-0.0478400024143401,0.176491703925787,26,0.465011829847021
LTBP4,-0.283788830249678,-0.157036717132567,0.177983914440513,26,0.468113445767437
ITGA2,0.102755339201908,-0.0448680620899479,0.179343591635746,26,0.470856143411163
PSMD13,0.17190912083675,0.102000357478259,0.180851867622985,26,0.473978616027789
TBC1D9B,0.0717555899145852,-0.0399627469470768,0.181956097066327,26,0.474599239967196
TJP2,0.111845034356951,-0.0507427978572495,0.18197824710198,26,0.474599239967196
FAM114A2,0.15548037712443,0.175421143038149,0.182046814792262,26,0.474599239967196
REPS2,-0.149827977167397,0.0446247320746754,0.182393552739054,26,0.474670436725453
CXCR4,-0.189350576001983,-0.397757947566702,0.18391811915417,26,0.477287092154061
EIF6,0.16204510076903,0.205474393645533,0.184327166163513,26,0.477287092154061
PON1,-0.0712701981841382,0.121344029062286,0.18443825553756,26,0.477287092154061
SEPTIN6,-0.0407897290309546,0.212570767845916,0.184685553534043,26,0.477287092154061
ADCY6,-0.072481332520337,-0.189516686628336,0.185004956312745,26,0.477287092154061
MANSC1,-0.165020827057553,0.17540359658297,0.187481516205793,26,0.482838012273498
TOR1A,-0.179515533518564,0.0248930749807573,0.188950128453282,26,0.485778357926603
WASF2,0.0385103040725645,0.216004029817826,0.18981119270295,25,0.486566444723722
MYADM,0.149443699632458,0.269624311456544,0.190115111091052,26,0.486566444723722
COPS6,-0.0552623237331306,0.0733119526732395,0.190238966611361,26,0.486566444723722
APEH,0.106084911753519,0.180893309935861,0.190711963190414,26,0.486938105328102
PGK1,0.124173397491128,-0.070558341163336,0.191115418259743,26,0.487047325190536
LRRC59,0.286224271123126,0.137963647775019,0.19141025431445,26,0.487047325190536
RTCB,0.154770902333254,-0.0624923315244532,0.192590657140042,25,0.48921319061556
G3BP1,0.138762130133264,0.156591447451044,0.19304695580707,26,0.48953545448687
GP5,0.228952300640644,0.116906501716064,0.193391425426724,26,0.489573523311944
COPG1,0.130354693352397,0.0967531179034443,0.193720963936272,26,0.489573728587245
CAMP,-0.0418570006967701,0.309193158414184,0.194287987454719,26,0.490163222086677
ROCK2,0.0352950098298528,-0.0961570119135623,0.194613930707362,26,0.490163222086677
ATG3,-0.0961937584726538,0.244146597323639,0.196574709021349,25,0.494263989180584
CLIC1,0.185051758320713,0.167997565167933,0.196944041100764,26,0.494269524900817
BTD,-0.26228801853122,0.0326292925441465,0.197957486680301,26,0.494269524900817
HABP2,-0.151184816614024,-0.109990897128665,0.197969274678902,26,0.494269524900817
ALDH3A2,0.180951874071521,-0.0802275375012054,0.198192290865891,26,0.494269524900817
ROCK1,0.0504305482094416,-0.0618263472492574,0.198493007487322,26,0.494269524900817
LDHA,0.0689445051710907,-0.121898414090105,0.199978197237668,25,0.494269524900817
RILPL2,0.0553795785042355,-0.230652408583174,0.200090698510945,26,0.494269524900817
TNS1,0.0478141504367089,-0.0872422643341674,0.20038153018303,26,0.494269524900817
SLC25A3,0.056253203917957,-0.143134949291089,0.200604463395837,26,0.494269524900817
IRAG1,0.110228212772111,-0.0155946913915541,0.200925479673696,26,0.494269524900817
HBS1L,0.12384563820416,0.156250666262526,0.200982174159998,26,0.494269524900817
SPAG9,0.0233740525977829,-0.117562943958217,0.201070367402869,26,0.494269524900817
PLEC,0.0694623865886269,-0.0531025304850585,0.20117355775392,23,0.494269524900817
CCDC126,-0.308882282107826,-0.0258732391123997,0.20123355488896,26,0.494269524900817
ATP2A3,0.135460252901426,-0.0158444254793122,0.202849672460483,26,0.496620368289902
FHOD1,0.107617530187092,-0.0559891837414731,0.202902072296023,26,0.496620368289902
CTTN,-0.0152351080376221,-0.145096655276916,0.203193259704078,26,0.496620368289902
ANTXR2,-0.201162611639473,0.0275153571412413,0.204593614181498,26,0.497576897216968
MYO18A,0.0119840048923727,-0.121652432278389,0.204659396634577,26,0.497576897216968
CSK,0.192730185075287,-0.01043595907609,0.204814562754999,26,0.497576897216968
RHOG,0.0809103075985211,-0.0822068425616171,0.205345520521989,26,0.497576897216968
VPS13A,0.105419398777856,0.0170321331358779,0.205725311492634,26,0.497576897216968
SLMAP,-0.134065760085444,-0.148844698856533,0.205924974639427,26,0.497576897216968
COL18A1,-0.264770398409012,-0.0848109215617816,0.206332187429442,26,0.497576897216968
CD109,-0.0748149565580307,0.0788307061452213,0.20648984861597,26,0.497576897216968
C1R,-0.152024033911221,0.0849045067877959,0.20681628185168,26,0.497576897216968
HMCN2,-0.243338834065411,-0.0394933577666899,0.207007247264088,26,0.497576897216968
ATP5F1A,0.12964988532783,-0.0715763773795799,0.207267899984726,26,0.497576897216968
HRG,-0.216425531224455,-0.0669319198116784,0.209043110599093,26,0.500063453810907
MTOR,0.112970707314384,0.0445972260845167,0.209801659935349,26,0.500063453810907
ICAM2,-0.2532558404299,-0.022033732290252,0.209862350885089,26,0.500063453810907
RUVBL1,0.168135950712438,0.00827447403939163,0.209937133099213,26,0.500063453810907
SCCPDH,0.187308849652296,-0.033311420280699,0.210695042744118,26,0.500063453810907
DAG1,-0.247996094230028,-0.118791225004185,0.210755570760165,26,0.500063453810907
ILK,0.00169016570283824,-0.134557381904552,0.210972671491751,26,0.500063453810907
ARHGAP45,0.0315916212532124,-0.0788458408855826,0.210995817994239,26,0.500063453810907
ARL6IP5,0.245943267962452,-0.0714547467988316,0.212061082421093,26,0.501047116011861
PKN1,0.120852559107065,-0.0343972281229698,0.212085219361683,26,0.501047116011861
ATP2A2,0.128610219210905,-0.00874763649842762,0.212439173906037,26,0.50108668638789
RETREG3,-0.0267731647495055,-0.254683798320655,0.213301538992312,26,0.502323434140374
DCN,-0.131039323828991,-0.199145191717604,0.214103695946581,25,0.503047385259614
NRP2,-0.229153606444474,-0.0602147415640725,0.214381791711186,26,0.503047385259614
BAX,0.0660512369522802,-0.111640564627822,0.214624523724492,26,0.503047385259614
ESYT2,-0.0613262949799076,-0.12467820000084,0.216134829796245,26,0.505176832997213
IGHV3-7,-0.358980916377863,-0.0178618066485875,0.216356690114921,26,0.505176832997213
SLC25A6,0.208713708672066,-0.0537142973338346,0.216552922354794,26,0.505176832997213
AKAP12,-0.28562821566576,-0.0786836985530109,0.217019211052623,26,0.505471077780875
FGD4,-0.103271163996641,-0.149332363582725,0.219635244056384,25,0.510166226381485
PIK3CB,0.195967000610675,-0.0538368793243868,0.219721658737652,25,0.510166226381485
SNAP29,-0.184003271135415,-0.0985173999553164,0.220308585734356,26,0.510730980345169
SACM1L,0.146504349399505,-0.0506366236711745,0.221590590199103,26,0.512901244948188
DENND3,0.0430611287090771,-0.0519345245635248,0.221935060902884,26,0.512901244948188
LMAN2,-0.0859376193653269,-0.124409723976924,0.22291286406186,26,0.514029203206527
PSME2,0.140000508589806,-0.00780298671597581,0.223114963706736,26,0.514029203206527
PTK2,0.0603056943738206,-0.079092347627368,0.224394117822146,26,0.515632720269555
ASPH,-0.089868531118886,0.0703302637670753,0.224504959632841,26,0.515632720269555
RPIA,0.11968378449794,0.2075974180228,0.226361206460115,26,0.519093754320573
PGRMC1,0.244497322514952,0.15410394368139,0.226983459598135,26,0.519718676367994
PPP1R12A,0.0643790242131204,-0.00847869658108882,0.227431611593027,26,0.519929585811745
ABI1,0.0840838067670176,-0.0707471846993259,0.228129940485941,26,0.519929585811745
PON3,-0.22416137989476,-0.0704603278077063,0.22832723174716,26,0.519929585811745
DPYSL2,0.14083516755398,0.0735625760504865,0.228475114088203,26,0.519929585811745
PTPRG,-0.143029482647611,0.0371300851485438,0.230077633240396,26,0.522775784396374
PTPN6,0.0774038973573739,-0.0320573135247444,0.230867722519146,26,0.523027667013249
GCLM,0.118471854048282,0.0590744847119684,0.23089242904488,26,0.523027667013249
SPN,-0.247624149122747,-0.0930274985939663,0.233507318138609,26,0.52749764808874
STAT3,0.0844940377504343,-0.0477904437959578,0.233575674591111,26,0.52749764808874
LRRFIP2,0.0924217830111441,-0.0631130449852249,0.234362088008017,26,0.52825626253979
KRT1,0.232605148668166,0.671066696356529,0.234622566134765,26,0.52825626253979
HPR,-0.37188694483206,-0.189531438901103,0.235310463553499,26,0.528437506122541
TMED2,0.0214752175148985,-0.130495177226826,0.23541428603844,26,0.528437506122541
LSM1,0.261090372752286,0.240054970381213,0.235786453810023,26,0.528474615930156
RAP1GDS1,0.0812021741557227,-0.0547215187574051,0.23675402585919,26,0.529844100040295
SDCBP,0.137985739046399,0.221988213516056,0.237637388333231,26,0.530035556378855
TOMM70,0.114653234987829,-0.0248282329680947,0.237832897374099,26,0.530035556378855
GSTP1,-0.0847092507945414,0.17374844039273,0.239093373604519,23,0.530035556378855
ATL3,0.167126298678956,-0.0212419035628723,0.239114385464847,26,0.530035556378855
ORM1,-0.376825540675865,-0.178256511891929,0.239194666861017,26,0.530035556378855
GRAP2,0.0780694041160487,-0.0740771051228652,0.239481728501975,26,0.530035556378855
ECM2,-0.223182927748992,-0.0890064992030003,0.239661678306404,26,0.530035556378855
NDUFA13,0.168143113547551,-0.0533316506619322,0.239729049055555,25,0.530035556378855
YWHAH,0.039554501854904,-0.13747334585815,0.240049750634569,26,0.530035556378855
EMILIN1,0.0481649471847425,-0.0794230271447874,0.241024934149853,26,0.531399187161248
LCP1,-0.152736777849319,0.0167524898814366,0.241454408625049,26,0.531557409210108
ARFGAP1,0.0851582342594971,0.202194765112728,0.241999510437241,25,0.531969338032161
PLTP,-0.208105750154157,-0.0608124593603326,0.242629817443235,26,0.532567073442611
ME2,0.152488163883907,0.0121908108301805,0.245522823390338,26,0.538122294333395
PPP6R1,-0.198488146345031,-0.331043564433806,0.246624538587274,25,0.53942942591244
ANGPTL6,-0.189560885434696,-0.0530554232623799,0.246845228546742,26,0.53942942591244
APPL2,0.195082457861804,0.100979651387818,0.24818061117487,26,0.540700497320262
SH3GL1,0.208236241970063,0.115639964181834,0.24844443171709,25,0.540700497320262
HSPA9,0.0164973782374512,-0.137163255564466,0.249075859375668,26,0.540700497320262
SPCS2,0.0431722198177133,-0.135500904764387,0.24917901171403,26,0.540700497320262
CLU,-0.0898685921968608,0.0196850099898398,0.249246191564185,26,0.540700497320262
HACD4,0.180068865435192,0.00828655904508287,0.250339012565647,26,0.541604340850138
